person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,loan_intent_encoded,person_home_ownership_encoded,loan_grade_encoded,cb_person_default_on_file_encoded
22,59000,1230.0,35000,1602.0,1,59,3,4,3,3,1
21,9600,50.0,1000,1114.0,0,1,2,1,2,1,0
25,9600,10.0,5500,1287.0,1,57,3,3,0,2,0
23,65500,40.0,35000,1523.0,1,53,2,3,3,2,0
24,54400,80.0,35000,1427.0,1,55,4,3,3,2,1
21,9900,20.0,2500,714.0,1,25,2,5,2,0,0
26,77100,80.0,35000,1242.0,1,45,3,1,3,1,0
24,78956,50.0,35000,1111.0,1,44,4,3,3,1,0
24,83000,80.0,35000,89.0,1,42,2,4,3,0,0
21,10000,60.0,1600,1474.0,1,16,3,5,2,3,0
22,85000,60.0,35000,1037.0,1,41,4,5,3,1,0
21,10000,20.0,4500,863.0,1,45,2,2,2,0,0
23,95000,20.0,35000,79.0,1,37,2,5,3,0,0
26,108160,40.0,35000,1839.0,1,32,4,1,3,4,0
23,115000,20.0,35000,79.0,0,3,4,1,3,0,0
23,500000,70.0,30000,1065.0,0,6,3,0,0,1,0
23,120000,0.0,35000,79.0,0,29,4,1,3,0,0
23,92111,70.0,35000,2025.0,1,32,4,3,3,5,0
23,113000,80.0,35000,1825.0,1,31,4,0,3,3,0
24,10800,80.0,1750,1099.0,1,16,2,1,0,1,0
25,162500,20.0,35000,749.0,0,22,4,5,3,0,0
25,137000,90.0,34800,1677.0,0,25,2,4,3,4,1
22,65000,40.0,34000,1758.0,1,52,4,1,3,3,0
24,10980,0.0,1500,729.0,0,14,3,4,2,0,0
22,80000,30.0,33950,1454.0,1,42,4,4,3,3,1
24,67746,80.0,33000,1268.0,1,49,3,2,3,2,0
21,11000,30.0,4575,1774.0,1,42,3,5,0,4,1
23,11000,0.0,1400,932.0,0,13,3,4,2,0,0
24,65000,60.0,32500,999.0,1,5,3,2,3,1,0
21,11389,50.0,4000,1284.0,1,35,2,1,1,2,1
21,11520,50.0,2000,1112.0,1,17,3,3,2,1,0
25,120000,20.0,32000,662.0,0,27,2,5,3,0,0
26,95000,70.0,31050,1417.0,1,33,3,2,3,2,1
25,306000,20.0,24250,1385.0,0,8,3,0,3,2,0
26,300000,100.0,7800,1349.0,0,3,4,3,0,2,0
21,12000,50.0,2500,751.0,1,21,4,1,2,0,0
22,48000,10.0,30000,1839.0,1,63,2,1,3,4,0
24,64000,80.0,30000,1454.0,1,47,3,0,3,3,1
25,75000,40.0,30000,1689.0,1,4,4,2,3,3,1
26,62050,60.0,30000,1799.0,1,41,2,3,3,4,0
24,12000,40.0,2500,1269.0,1,21,3,5,2,1,0
26,300000,100.0,20000,788.0,0,7,4,5,0,0,0
23,300000,10.0,24250,1941.0,0,8,2,1,2,5,1
26,300000,90.0,10000,1038.0,0,3,4,2,2,1,0
26,300000,0.0,25000,1533.0,0,8,3,1,0,3,0
25,300000,90.0,18000,1645.0,0,6,3,2,0,4,0
26,80690,80.0,30000,749.0,1,37,3,4,3,0,0
22,66300,40.0,30000,1269.0,1,38,3,3,3,1,0
26,89028,0.0,30000,662.0,1,34,3,0,3,0,0
23,78000,70.0,30000,1862.0,1,38,3,0,3,5,1
23,92004,60.0,30000,1523.0,1,33,3,4,3,2,1
23,97000,70.0,30000,1065.0,1,31,2,5,3,1,0
25,120000,90.0,30000,79.0,0,25,4,1,3,0,0
26,280000,40.0,10000,1596.0,0,4,3,4,3,2,1
26,277104,0.0,20000,1148.0,0,7,3,5,3,1,0
25,128000,90.0,30000,729.0,0,23,4,4,3,0,0
21,131000,0.0,30000,599.0,0,23,4,5,3,0,0
22,275000,60.0,12000,1158.0,0,4,2,5,2,1,0
25,221850,90.0,25000,157.0,1,1,2,3,0,3,0
22,70000,60.0,29100,1599.0,1,42,3,1,3,3,0
22,12000,70.0,1500,1484.0,0,13,3,1,0,3,1
26,260000,100.0,28000,1099.0,0,11,3,2,2,1,0
25,259000,90.0,20000,1442.0,0,8,2,2,0,3,1
24,255000,90.0,9600,699.0,0,4,2,1,0,0,0
25,250000,20.0,25000,1349.0,0,1,4,3,3,2,0
21,12000,60.0,3000,1361.0,1,25,3,1,2,2,1
23,65000,20.0,28000,79.0,1,43,2,1,3,0,0
26,85000,20.0,28000,749.0,1,33,3,5,3,0,0
26,12000,20.0,6100,751.0,1,51,3,1,2,0,0
22,88000,60.0,28000,991.0,1,32,3,5,3,1,0
21,12000,0.0,4200,1348.0,1,35,4,4,2,2,1
22,12000,60.0,4750,714.0,1,4,2,0,2,0,0
24,83004,0.0,28000,1599.0,1,34,4,5,3,3,1
24,250000,20.0,18000,1298.0,0,7,3,1,3,2,1
25,100000,50.0,28000,1269.0,0,28,3,0,3,1,0
26,110000,100.0,28000,89.0,0,25,2,1,3,0,0
23,151200,70.0,28000,1111.0,0,19,2,0,3,1,0
21,12000,50.0,3250,1568.0,1,27,3,0,0,4,1
22,70000,40.0,27500,1306.0,1,39,3,1,3,2,1
26,73200,50.0,27050,1562.0,1,37,2,5,3,3,1
24,83000,50.0,27000,1349.0,1,33,2,4,3,2,1
23,62500,70.0,26000,1171.0,1,42,2,3,3,1,0
23,120000,10.0,25600,1269.0,0,21,3,1,3,1,0
24,12360,20.0,1600,1357.0,0,13,3,3,2,2,0
22,60000,0.0,25475,1099.0,1,42,3,5,3,1,0
25,234000,30.0,20000,1427.0,0,9,4,3,0,2,1
24,234000,80.0,20000,888.0,0,9,4,2,2,1,0
26,234000,100.0,21600,1218.0,0,9,3,2,0,1,0
25,221004,60.0,11900,1442.0,1,5,3,0,0,3,1
26,232500,0.0,25000,1417.0,0,11,2,3,0,2,1
25,230000,50.0,35000,1399.0,0,15,4,3,0,2,0
23,83000,70.0,25300,1099.0,1,3,3,1,3,1,0
25,12600,30.0,1750,1361.0,0,14,3,4,2,2,0
21,42500,30.0,25000,1273.0,1,59,3,1,3,2,1
25,12816,0.0,3000,1287.0,1,23,4,0,2,2,1
24,12960,10.0,3650,991.0,1,28,3,2,0,1,0
26,226000,40.0,20000,1149.0,0,9,4,2,0,1,0
25,225000,0.0,30000,1991.0,0,13,2,2,0,4,1
26,213000,60.0,35000,1065.0,1,16,2,1,0,1,0
24,12960,0.0,4500,1183.0,1,35,4,0,0,1,0
23,12996,0.0,2400,1349.0,1,18,2,0,2,2,1
22,42000,60.0,25000,1459.0,1,6,2,3,3,3,1
26,48000,20.0,25000,964.0,1,52,4,1,3,1,0
25,12996,10.0,3600,1459.0,1,28,3,3,2,3,0
25,42360,10.0,25000,1635.0,1,59,3,1,3,4,1
21,49000,40.0,25000,1099.0,1,51,2,1,3,1,0
25,225000,0.0,25000,1867.0,0,11,2,5,0,5,0
26,225000,10.0,3000,932.0,0,1,4,1,3,0,0
23,225000,80.0,7500,863.0,0,3,2,0,3,0,0
26,225000,20.0,25000,1008.0,0,11,2,5,0,1,0
22,49464,50.0,25000,1183.0,1,51,3,4,3,1,0
23,50000,10.0,25000,79.0,1,5,3,0,3,0,0
25,50000,40.0,25000,599.0,1,5,2,2,3,0,0
24,44000,20.0,25000,1533.0,1,57,2,0,3,3,0
23,50000,10.0,25000,1183.0,1,5,4,5,3,1,0
22,50004,0.0,25000,1036.0,1,5,2,5,3,1,0
22,50004,30.0,25000,1223.0,1,5,3,5,3,2,0
22,52000,20.0,25000,1111.0,1,48,4,1,3,1,0
23,13200,30.0,4950,79.0,1,38,4,0,2,0,0
24,220000,10.0,25000,1158.0,0,11,2,1,0,1,0
23,216000,50.0,21000,89.0,0,1,3,0,0,0,0
25,216000,20.0,25000,1607.0,0,12,3,1,0,3,0
26,216000,100.0,20000,1422.0,0,9,2,1,0,2,1
23,215000,70.0,35000,1479.0,0,16,3,3,0,2,1
26,215000,110.0,12000,788.0,0,6,2,1,0,0,0
23,52000,10.0,25000,1322.0,1,48,2,4,3,2,0
26,46000,20.0,25000,1186.0,1,54,4,0,3,3,0
22,53000,50.0,25000,1343.0,1,47,4,1,3,2,1
26,47000,0.0,25000,1528.0,1,53,2,2,3,3,1
23,47000,10.0,25000,1793.0,1,53,2,5,3,4,0
23,13200,20.0,1400,925.0,0,11,4,1,0,1,0
21,13200,0.0,4500,1298.0,1,34,4,5,2,2,0
22,210000,60.0,16000,1062.0,0,8,4,5,0,1,0
26,210000,100.0,22000,1183.0,0,1,4,4,2,1,0
26,48000,50.0,25000,1843.0,1,52,2,5,3,5,0
23,55000,40.0,25000,1136.0,1,45,3,1,3,1,0
23,55000,40.0,25000,1565.0,1,45,3,1,3,3,1
24,55164,80.0,25000,1322.0,1,45,4,4,3,2,1
26,56000,40.0,25000,1287.0,1,45,2,0,3,2,0
24,203500,80.0,20000,1304.0,0,1,3,3,2,2,0
23,190000,50.0,22000,1758.0,1,12,3,1,0,5,1
23,13920,20.0,7750,1704.0,1,56,4,4,2,4,0
24,60000,0.0,25000,1099.0,1,42,3,4,3,1,0
24,60000,20.0,25000,1111.0,1,42,3,4,3,1,0
26,54000,70.0,25000,1483.0,1,46,2,0,3,3,1
24,200000,80.0,12000,1269.0,0,6,2,3,3,1,0
24,200000,80.0,12000,1349.0,0,6,2,2,0,2,0
21,200000,50.0,16000,1465.0,0,8,4,1,0,2,0
25,54000,30.0,25000,1682.0,1,46,4,2,3,4,0
23,60000,30.0,25000,1273.0,1,42,3,4,3,2,0
23,60000,70.0,25000,1025.0,1,42,4,4,3,1,0
21,60000,60.0,25000,1099.0,1,42,4,1,3,1,0
25,61959,90.0,25000,1273.0,1,4,2,3,3,2,0
22,56400,20.0,25000,1496.0,1,44,3,2,3,3,1
21,200000,20.0,25000,1399.0,0,13,2,0,0,2,0
24,200000,30.0,24000,749.0,0,12,4,5,0,0,0
26,200000,40.0,15000,1479.0,0,7,3,1,0,2,0
25,200000,20.0,15500,1199.0,0,8,2,0,0,1,0
24,200000,80.0,10000,849.0,0,5,4,1,3,0,0
24,66000,30.0,25000,991.0,1,38,2,1,3,1,0
22,66000,60.0,25000,1306.0,1,38,3,1,3,2,1
22,200000,60.0,9000,617.0,0,4,4,0,0,0,0
25,200000,50.0,18000,1632.0,0,9,3,1,3,3,0
25,200000,20.0,12000,1038.0,0,6,2,5,0,1,0
25,200000,90.0,23050,1435.0,0,12,3,4,0,2,0
26,66996,100.0,25000,1521.0,1,37,2,4,3,3,1
23,67000,30.0,25000,79.0,1,37,4,1,3,0,0
24,67000,20.0,25000,1099.0,1,37,3,5,3,1,0
24,68000,50.0,25000,1409.0,1,37,3,4,3,3,1
25,69000,90.0,25000,1749.0,1,36,2,4,3,3,0
25,200000,0.0,12000,1148.0,0,6,3,1,0,1,0
26,188000,100.0,20000,1774.0,1,11,2,5,0,4,0
26,200000,40.0,3000,1392.0,0,1,3,4,0,2,0
25,69996,90.0,25000,1521.0,1,36,3,1,3,3,0
22,14400,20.0,4000,1099.0,1,28,3,3,2,1,0
24,70000,30.0,25000,1186.0,1,36,4,1,3,1,0
24,14400,50.0,6000,749.0,1,42,3,4,2,0,0
24,56100,70.0,25000,1649.0,1,38,4,3,3,3,0
25,66000,90.0,25000,1533.0,1,38,2,5,3,3,1
26,66000,30.0,25000,1158.0,1,38,4,2,3,1,0
25,14400,70.0,5375,579.0,1,37,2,1,2,0,0
25,72612,90.0,25000,1311.0,1,34,2,3,3,2,0
23,74000,30.0,25000,1036.0,1,34,3,3,3,1,0
25,75000,90.0,25000,1036.0,1,33,2,0,3,1,0
21,192000,1230.0,20000,654.0,0,1,4,5,0,0,0
25,191000,10.0,10000,1253.0,0,5,4,3,0,1,0
24,75000,40.0,25000,1025.0,1,33,4,1,3,1,0
22,71000,10.0,25000,1595.0,1,35,4,1,3,3,1
26,190000,30.0,20000,1218.0,0,11,4,5,0,1,0
23,189996,0.0,24000,1183.0,0,13,3,4,2,1,0
23,78000,10.0,25000,1062.0,1,32,3,5,3,1,0
23,78504,70.0,25000,1074.0,1,32,3,5,3,1,0
25,186000,90.0,10000,1025.0,0,5,4,5,2,1,0
25,185000,60.0,15000,1527.0,0,8,2,5,3,2,0
24,62050,80.0,25000,1533.0,1,34,2,3,3,3,1
23,79416,70.0,25000,1521.0,1,31,2,5,3,3,1
21,14400,40.0,6250,1472.0,1,43,2,5,2,2,0
24,79631,80.0,25000,157.0,1,31,2,4,3,3,1
24,79632,0.0,25000,1335.0,1,31,4,1,3,2,0
24,80000,60.0,25000,662.0,1,31,2,1,3,0,0
26,80000,50.0,25000,1361.0,1,31,4,0,3,2,0
22,185000,40.0,25000,1136.0,0,14,2,3,3,1,0
26,185000,100.0,5000,768.0,0,3,2,4,2,0,0
24,184992,70.0,22000,1446.0,0,12,4,2,3,3,1
23,184000,50.0,2500,1183.0,0,1,2,1,2,1,0
24,172000,60.0,20000,1347.0,1,12,4,0,0,2,1
24,183000,20.0,20000,1149.0,0,11,3,3,0,1,0
25,182952,90.0,15000,603.0,0,8,3,4,0,0,0
23,74004,70.0,25000,1635.0,1,34,4,0,3,4,0
25,81000,50.0,25000,729.0,1,31,3,0,3,0,0
23,81600,10.0,25000,1136.0,1,31,3,3,3,1,0
24,82000,80.0,25000,1025.0,0,3,2,5,3,1,0
24,83000,50.0,25000,1112.0,0,3,3,1,3,1,0
